symbol,timeframe,side,score,confidence,confidence_label,risk_label,actionability,regime,mtf_direction,mtf_consensus,mtf_quality,rank_score,provider,price,notes,opportunity_score,quality_label,quality_stars,recommendation,trade_quality_grade,trade_quality_score,first_rr,best_rr,recommended_risk_pct,position_notional,expected_drawdown_pct,historical_win_probability,probability_ci_low,probability_ci_high,expected_r,calibration_samples,calibration_status,calibration_usable,allocation_pct,shadow_allocation_pct,decision_timestamp,entry_zone,stop_zone,targets,breadth_mode,breadth_strength,breadth_market_agreement,breadth_opportunity_strength,breadth_risk_tone,breadth_bullish_pct,breadth_bearish_pct,breadth_neutral_pct,breadth_avg_opportunity,daily_report_file
ETH/USDT,4h,NEUTRAL,26,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.78,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,23,20,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,1.75,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,44,42,Low-Medium,Medium,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,32.77,27.31,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,38,42,Low-Medium,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.61,9.45,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,41,36,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,11.63,8.5,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,34,31,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,7.43,4.8,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,24,14,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.62,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,11,9,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,0.82,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,49,49,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.53,35.61,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,42,33,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,11.19,8.1,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,35,32,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,5.81,3.1,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,20,9,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,1.27,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,10,13,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,0.89,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,9,9,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,0.72,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,63,52,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,66.72,60.01,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,42,39,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.87,9.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,42,32,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,10.91,7.85,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,34,20,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,2.3,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,26,14,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.72,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,11,2,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,0.61,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,65,52,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,85,STRONG,86.21,79.4,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,51,35,Low,Low,NOT_ACTIONABLE,TRENDING_BEAR,SHORT,50,CONFLICTED,52.6,47.0,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,53,40,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,38.61,32.76,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,31,19,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,3.37,1.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,24,11,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,1.53,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,7,7,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,0.56,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,49,49,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.53,35.61,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,45,49,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,37.43,31.71,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,47,37,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,SHORT,50,CONFLICTED,11.26,7.8,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.39,4.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,29,19,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,2.02,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,9,10,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,0.75,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,67,46,Low-Medium,Low,WATCHLIST,TRENDING_BULL,LONG,50,CONFLICTED,83.46,76.73,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,63,67,Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,64.67,57.51,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,LONG,52,43,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,LONG,50,CONFLICTED,54.74,48.85,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,50,38,Low,Low,NOT_ACTIONABLE,TRENDING_BULL,LONG,50,CONFLICTED,52.54,46.9,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,46,44,Low-Medium,Medium,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,34.13,28.51,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,39,23,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,4.89,2.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,70,69,Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,50,CONFLICTED,84.22,76.65,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,61,50,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,59.61,53.06,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,37,43,Low-Medium,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.49,9.35,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,30,25,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,2.25,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,19,11,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.28,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,15,13,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,1.14,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,69,54,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,100,STRONG,92.12,85.05,Elite,⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,63,61,Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,63.49,56.51,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,35,32,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.44,4.73,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,23,30,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,2.75,0.7,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,17,15,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,1.3,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,16,9,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.07,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,SHORT,71,60,Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,85,STRONG,90.85,83.5,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,SHORT,55,46,Low-Medium,Low,WATCHLIST,UNKNOWN,SHORT,50,CONFLICTED,71.78,65.65,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,62,59,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,61.33,54.46,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,53,51,Low-Medium,Medium,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,38.89,32.71,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,39,42,Low-Medium,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,11.81,8.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,41,36,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,85,NEUTRAL_DOMINANT,7.25,4.12,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,SHORT,50,45,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,SHORT,50,CONFLICTED,53.8,47.95,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,48,43,Low-Medium,Medium,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,35.65,29.96,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,48,36,Low,Low,MONITOR_ONLY,TRENDING_BEAR,SHORT,50,CONFLICTED,12.98,9.5,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,45,36,Low,Low,MONITOR_ONLY,TRENDING_BEAR,SHORT,50,CONFLICTED,11.78,8.45,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,38,32,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,85,NEUTRAL_DOMINANT,8.01,5.15,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,35,39,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,85,NEUTRAL_DOMINANT,2.92,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,SHORT,69,56,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,85,STRONG,89.43,82.3,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,60,58,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,SHORT,50,CONFLICTED,77.64,70.9,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,61,60,Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,62.41,55.56,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,57,58,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,60.25,53.66,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,SHORT,57,56,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,59.69,53.16,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,SHORT,46,56,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,33.42,27.44,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,39,28,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,8.59,5.8,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,32,20,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,85,NEUTRAL_DOMINANT,3.55,1.35,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,30,19,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,85,NEUTRAL_DOMINANT,2.47,0.4,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,27,19,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.92,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,24,14,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,85,NEUTRAL_DOMINANT,1.62,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,8,9,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,0.67,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,55,57,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,59.17,52.71,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,52,54,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,41.63,35.41,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,54,44,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,40.13,34.11,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,SHORT,48,36,Low,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,35.49,30.01,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,38,40,Low-Medium,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,12.05,8.95,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,29,18,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,2.29,0.3,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,55,57,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,59.17,52.71,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,56,45,Low-Medium,Low,WATCHLIST,TRENDING_BEAR,NEUTRAL,65,MIXED,56.21,50.06,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,SHORT,52,54,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,41.63,35.41,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,SHORT,48,36,Low,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,35.49,30.01,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,40,42,Low-Medium,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,13.41,10.15,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,39,24,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,7.97,5.3,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,38,39,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,11.27,8.2,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,31,24,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,2.27,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,27,17,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.86,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,26,16,Low,Medium,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,1.78,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,17,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.71,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,24,11,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.53,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,25,30,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,85,NEUTRAL_DOMINANT,4.05,1.9,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,27,17,Low,Medium,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,1.86,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,21,21,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,24,14,Low,Medium,MONITOR_ONLY,UNKNOWN,NEUTRAL,85,NEUTRAL_DOMINANT,1.62,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,15,15,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,1.2,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,5,8,Low,Medium,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,0.49,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,75,52,Low-Medium,Low,WATCHLIST,TRENDING_BULL,LONG,50,CONFLICTED,88.34,81.03,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,44,39,Low,Low,MONITOR_ONLY,SIDEWAYS,LONG,65,WEAK,12.92,9.55,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,29,28,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,5.09,2.8,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,27,26,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,3.73,1.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,27,26,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,3.73,1.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,23,22,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,1.81,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,55,38,Low,Low,WATCHLIST,TRENDING_BULL,LONG,50,CONFLICTED,70.04,64.15,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,LONG,47,25,Low,Medium,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,36.09,30.99,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,44,34,Low,Low,NOT_ACTIONABLE,TRENDING_BEAR,NEUTRAL,65,MIXED,33.33,28.11,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,35,31,Low,Low,MONITOR_ONLY,SIDEWAYS,LONG,50,CONFLICTED,7.08,4.4,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,25,13,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.64,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,10,0,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,0.5,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,72,63,Medium,Low,WATCHLIST,TRENDING_BULL,LONG,100,STRONG,96.34,88.85,Elite,⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
